Date,Open,High,Low,Close,Volume,Adj Close
36815,71.04,72.07,69.17,70.8,7710400,70.8
36816,71.32,72.55,69.17,71.99,8882500,71.99
36817,61.64,63.15,57.5,60.8,29777800,60.8
36818,62.44,62.76,59.05,61.44,17966900,61.44
36819,60.61,61.32,60.01,60.37,9369200,60.37
36822,60.37,60.53,58.02,59.17,9338600,59.17
36823,59.25,60.13,57.46,58.26,8826200,58.26
36824,57.66,57.94,55.39,55.79,14058500,55.79
36825,56.07,59.17,55.83,59.09,10135700,59.09
36826,59.25,59.69,57.98,59.69,6431400,59.69
36829,59.57,59.73,57.54,59.45,8084000,59.45
36830,59.73,63.15,59.73,62.76,10902600,62.76
36831,62.72,63.63,61.96,62.8,7466200,62.8
36832,63.07,65.19,62.76,64.95,7445100,64.95
36833,65.3,65.38,63.31,63.79,5848500,63.79
36836,63.63,65.22,63.35,63.91,4448500,63.91
36837,64.43,65.94,64.15,65.19,5420600,65.19
36838,66.11,66.18,63.31,63.79,6990800,63.79
36839,61.72,63.79,61.04,63.43,9047900,63.43
36840,62.52,62.76,59.33,59.33,6807900,59.33
36843,58.57,63.43,58.45,62.16,8684900,62.16
36844,63.31,63.71,62.84,63.47,5150900,63.47
36845,63.47,63.83,62.28,63.39,4160300,63.39
36846,63.31,63.59,62.68,62.68,3739700,62.68
36847,62.72,65.39,62.68,65.03,7717400,65.03
36850,64.75,65.87,64.35,65.87,7426600,65.87
36851,65.87,66.58,62.84,62.84,7180700,62.84
36852,62.84,64.31,62.72,62.84,5537100,62.84
36854,63.39,64.91,63.31,63.75,2497500,63.75
36857,64.07,65.07,62.8,62.8,3866200,62.8
36858,63,64.27,62.12,62.44,4799100,62.44
36859,62.36,63.75,61.68,63.67,5524600,63.67
36860,62.52,62.52,58.85,59.65,10651400,59.65
36861,60.24,63.35,60.2,61,7525100,61
36864,61.24,63.27,61.08,62.76,5566800,62.76
36865,64.07,66.82,63.55,65.95,7804200,65.95
36866,64.91,64.95,60.48,61.72,10096900,61.72
36867,60.64,61.2,59.41,59.41,7922000,59.41
36868,62.52,63.15,61.08,61.88,6140600,61.88
36871,61.56,62.68,59.81,60.6,6185600,60.6
36872,60.76,61.32,59.01,59.89,7913300,59.89
36873,60.52,61.64,57.85,58.21,6992600,58.21
36874,58.69,59.77,58.57,58.97,6131400,58.97
36875,57.41,57.85,55.7,56.02,14254500,56.02
36878,56.38,57.73,56.38,57.73,7693800,57.73
36879,57.53,60.24,57.29,57.49,7705300,57.49
36880,54.78,56.14,54.1,54.86,12579400,54.86
36881,54.54,56.1,51.07,52.03,12725500,52.03
36882,53.9,57.01,53.9,56.78,9514000,56.78
36886,56.78,57.13,53.75,54.1,6052300,54.1
36887,54.06,56.22,53.31,54.02,8245100,54.02
36888,53.27,56.26,52.39,54.38,9798600,54.38
36889,55.46,55.46,53.75,54.22,6943700,54.22
36893,53.9,55.82,53.67,54.1,8007200,54.1
36894,53.43,60.6,53.43,60.36,12769900,60.36
36895,60.44,63.63,59.13,59.45,15420500,59.45
36896,59.93,60.4,58.05,59.97,8043200,59.97
36899,59.65,59.93,58.41,59.69,6064800,59.69
36900,60.24,61.08,58.33,59.05,7547100,59.05
36901,59.01,60.56,58.49,59.61,7656100,59.61
36902,59.29,60.12,58.21,59.77,9635000,59.77
36903,59.77,61.52,58.93,59.85,6448000,59.85
36907,59.81,59.97,58.57,59.17,5671900,59.17
36908,60.84,62.36,60.16,61.68,9727000,61.68
36909,66.58,70.17,66.03,69.1,25244900,69.1
36910,68.58,72.68,68.42,70.97,14762200,70.97
36913,69.85,70.13,69.02,69.25,9618500,69.25
36914,69.89,70.13,68.66,69.57,9826900,69.57
36915,69.57,71.09,69.49,70.45,6760900,70.45
36916,70.25,70.89,69.81,70.65,4982100,70.65
36917,69.93,73.52,69.65,72.84,9095200,72.84
36920,71.77,73.68,71.75,73.35,5125000,73.35
36921,73.36,74.48,72.34,74.39,8242000,74.39
36922,73.84,74.48,71.45,71.45,8314200,71.45
36923,71.7,72.94,70.94,72.76,5580800,72.76
36924,71.93,72.72,69.92,70.34,5428400,70.34
36927,69.79,71.83,69.73,71.59,5113700,71.59
36928,71.59,73.8,70.94,72.84,7526400,72.84
36929,72.42,75.11,71.96,74.67,9006900,74.67
36930,74.67,75.49,72.83,72.87,8380800,72.87
36931,72.83,73.44,70.89,71.53,6318800,71.53
36934,70.6,73.91,70.44,73.38,6729300,73.38
36935,72.9,74.97,72.21,72.65,7193200,72.65
36936,72.65,74.19,71.85,73.51,7032900,73.51
36937,74.59,75.77,74.33,74.58,8098700,74.58
36938,73.16,73.92,72.77,73.45,7073000,73.45
36942,73.16,73.83,70.75,71.21,6748300,71.21
36943,69.96,71.21,68.52,68.66,9156900,68.66
36944,68.02,70.83,66.02,69.55,11709000,69.55
36945,68.66,68.66,64.03,66.42,15276600,66.42
36948,67.57,67.57,65.03,67.25,8344100,67.25
36949,66.99,68.25,65.5,65.52,9787900,65.52
36950,65.75,66.13,63.29,63.8,11933200,63.8
36951,63.42,67.95,62.27,67.73,15102000,67.73
36952,66.42,68.75,64.47,65.33,14745500,65.33
36955,65.66,67.44,65.55,67,6743900,67
36956,67.86,69.23,67.22,67.7,8120000,67.7
36957,68.62,69.13,67.48,68.69,7788900,68.69
36958,68.44,68.55,67.3,68,6793600,68
36959,67.06,67.07,62.52,63.41,16688100,63.41
36962,62.52,62.84,60.68,60.99,14494800,60.99
36963,60.74,62.87,60.16,62.84,12127900,62.84
36964,60.93,63.16,59.61,60.65,14246600,60.65
36965,61.31,62.51,60.78,61.03,8420000,61.03
36966,59.97,59.97,56.33,57.54,20029400,57.54
36969,58.12,59.27,56.97,59.14,10235500,59.14
36970,58.5,58.78,56.27,56.39,10101100,56.39
36971,56.49,58.5,56.04,56.89,11013000,56.89
36972,56.92,58.12,55.98,56.9,13328200,56.9
36973,59.71,60.67,57.66,59.72,12233600,59.72
36976,60.83,61.09,59.87,60.93,8581200,60.93
36977,60.03,63.87,60.01,63.55,11851200,63.55
36978,62.52,62.88,60.19,60.3,11890500,60.3
36979,60.33,61.99,60.2,60.7,10553700,60.7
36980,61.63,62.31,60.76,61.43,9461300,61.43
36983,62.24,62.65,59.77,60.46,8787000,60.46
36984,60.42,60.45,57.54,57.73,13330000,57.73
36985,57.77,60.07,57.51,58.76,13515600,58.76
36986,61.18,63.87,61.01,62.72,12506100,62.72
36987,62.59,63.87,61.57,62.56,13424200,62.56
36990,62.91,63.06,59.91,61.31,9486600,61.31
36991,61.95,63.8,61.67,63.26,10499400,63.26
36992,64.82,65.1,61.18,62.22,11498400,62.22
36993,61.57,62.27,60.77,61.44,9390100,61.44
36997,61.44,63.8,60.8,61.79,9188500,61.79
36998,61.95,63.79,61.95,63.67,9957300,63.67
36999,65.78,70.25,65.33,68.02,19814300,68.02
37000,71.53,74.02,70.54,73.11,25822400,73.11
37001,73.03,74.34,72.65,73.34,12759100,73.34
37004,72.81,72.84,71.32,71.53,8537500,71.53
